Step	Volume(Å³)	Pressure(GPa)	MeanForce(eV/Å)	MaxForce(eV/Å)	Stress_xx(GPa)	Stress_yy(GPa)	Stress_zz(GPa)	TotalEnergy(eV)	Temperature(K)
199	52.120312	1.640581	0.760873	1.380158	2.117799	0.851344	1.952601	-14.410470	481.47
200	52.120312	1.494148	0.770281	1.494823	1.801543	0.849936	1.830965	-14.410472	504.42
201	52.120312	1.425935	0.812423	1.583730	1.577345	0.925038	1.775421	-14.410408	516.44
202	52.120312	1.424592	0.865693	1.636286	1.443589	1.055263	1.774922	-14.410307	519.38
203	52.120312	1.476057	0.912585	1.644020	1.394946	1.214547	1.818678	-14.410198	516.27
204	52.120312	1.556909	0.944786	1.603271	1.413068	1.372004	1.885654	-14.410103	510.44
205	52.120312	1.642397	0.959503	1.515045	1.476929	1.496081	1.954180	-14.410034	504.88
206	52.120312	1.711229	0.957232	1.384365	1.565657	1.564656	2.003375	-14.409997	501.80
207	52.120312	1.747860	0.940229	1.220987	1.660311	1.565948	2.017322	-14.409982	502.50
208	52.120312	1.744153	0.911128	1.090126	1.747215	1.493593	1.991650	-14.409983	507.53
209	52.120312	1.699025	0.872852	1.040823	1.814896	1.353483	1.928697	-14.410008	516.76
210	52.120312	1.623175	0.830225	1.092434	1.864704	1.164044	1.840778	-14.410060	529.38
211	52.120312	1.528191	0.793252	1.116243	1.894712	0.949164	1.740699	-14.410133	543.75
212	52.120312	1.430171	0.771606	1.107977	1.905933	0.740256	1.644325	-14.410220	557.63
213	52.120312	1.346548	0.765146	1.068946	1.903306	0.568172	1.568165	-14.410302	568.43
214	52.120312	1.291649	0.769609	1.006549	1.889309	0.457303	1.528333	-14.410363	573.70
215	52.120312	1.273174	0.787351	1.142623	1.866203	0.424444	1.528875	-14.410379	571.71
216	52.120312	1.299288	0.823143	1.331060	1.844385	0.481183	1.572297	-14.410348	561.97
217	52.120312	1.367475	0.867836	1.492443	1.830325	0.621684	1.650415	-14.410284	545.30
218	52.120312	1.469173	0.906638	1.613467	1.821085	0.833913	1.752520	-14.410210	523.45
219	52.120312	1.593364	0.931347	1.685376	1.811700	1.101996	1.866397	-14.410150	498.47
220	52.120312	1.734374	0.939254	1.703326	1.804702	1.410586	1.987834	-14.410114	472.07
221	52.120312	1.889987	0.931357	1.666803	1.805310	1.748568	2.116082	-14.410099	445.33
222	52.120312	2.056378	0.911792	1.579853	1.818560	2.102058	2.248516	-14.410091	418.76
223	52.120312	2.229434	0.889218	1.449770	1.850601	2.456104	2.381598	-14.410073	392.66
224	52.120312	2.401919	0.878576	1.285792	1.904260	2.793494	2.508004	-14.410033	367.65
225	52.120312	2.561726	0.883539	1.097898	1.975774	3.094285	2.615120	-14.409964	344.97
226	52.120312	2.694440	0.891010	1.092260	2.056549	3.335048	2.691724	-14.409873	326.72
227	52.120312	2.782476	0.891856	1.144427	2.131816	3.491379	2.724233	-14.409774	315.65
228	52.120312	2.809789	0.881695	1.193501	2.185521	3.542923	2.700925	-14.409686	314.73
229	52.120312	2.763921	0.858083	1.215435	2.201718	3.477038	2.613006	-14.409630	326.62
230	52.120312	2.634885	0.820137	1.207224	2.161727	3.288403	2.454524	-14.409624	353.02
231	52.120312	2.422060	0.804102	1.167691	2.052767	2.985679	2.227733	-14.409679	394.13
232	52.120312	2.132422	0.805871	1.097542	1.871336	2.585800	1.940132	-14.409799	448.28
233	52.120312	1.783579	0.781125	1.070968	1.624229	2.118687	1.607822	-14.409976	511.81
234	52.120312	1.403890	0.730810	1.015987	1.326773	1.626408	1.258490	-14.410193	579.30
235	52.120312	1.030594	0.659590	0.921993	1.005315	1.157260	0.929208	-14.410425	644.08
236	52.120312	0.703219	0.576842	0.794279	0.693065	0.760199	0.656394	-14.410640	699.04
237	52.120312	0.461771	0.498957	0.642017	0.427329	0.483108	0.474876	-14.410806	737.56
238	52.120312	0.340942	0.445777	0.503583	0.243323	0.367401	0.412101	-14.410901	754.47
239	52.120312	0.363728	0.429161	0.470542	0.168839	0.440582	0.481763	-14.410910	746.83
240	52.120312	0.533966	0.456138	0.575925	0.218779	0.704557	0.678560	-14.410833	714.32
241	52.120312	0.841228	0.525538	0.714654	0.395342	1.144275	0.984067	-14.410672	659.35
242	52.120312	1.259718	0.613101	0.860986	0.686297	1.726089	1.366769	-14.410447	586.92
243	52.120312	1.747167	0.703759	1.000432	1.059846	2.398719	1.782934	-14.410181	504.08
244	52.120312	2.248776	0.793788	1.123812	1.469457	3.093038	2.183833	-14.409898	419.23
245	52.120312	2.708349	0.879381	1.223851	1.864122	3.739409	2.521515	-14.409628	341.26
246	52.120312	3.071793	0.952472	1.293896	2.191481	4.269189	2.754709	-14.409404	278.60
247	52.120312	3.296213	1.005062	1.327495	2.406503	4.626205	2.855932	-14.409260	238.20
248	52.120312	3.355321	1.031678	1.319206	2.479773	4.772274	2.813917	-14.409228	224.47
249	52.120312	3.245536	1.029746	1.266107	2.405154	4.694803	2.636652	-14.409321	238.36
250	52.120312	2.986258	0.999966	1.169454	2.199699	4.408785	2.350289	-14.409532	277.00
251	52.120312	2.617967	0.946508	1.079107	1.902028	3.955287	1.996585	-14.409821	333.98
252	52.120312	2.195809	0.876651	0.978622	1.566156	3.395689	1.625582	-14.410133	400.55
253	52.120312	1.778696	0.800568	1.003264	1.248971	2.799534	1.287584	-14.410407	467.28
254	52.120312	1.419929	0.732008	1.120554	0.998806	2.234847	1.026134	-14.410598	525.77
255	52.120312	1.155900	0.689837	1.230243	0.844829	1.755065	0.867806	-14.410682	570.09
256	52.120312	1.005046	0.692502	1.321806	0.793939	1.398401	0.822797	-14.410665	597.46
257	52.120312	0.971423	0.737400	1.384280	0.841816	1.189329	0.883124	-14.410573	608.14
258	52.120312	1.037804	0.800537	1.408893	0.962889	1.126546	1.023976	-14.410435	604.75
259	52.120312	1.174559	0.860006	1.390571	1.119593	1.192820	1.211265	-14.410285	591.34
260	52.120312	1.347435	0.903801	1.328283	1.274425	1.358704	1.409175	-14.410150	572.42
261	52.120312	1.520450	0.927478	1.226063	1.391232	1.586001	1.584117	-14.410047	552.12
262	52.120312	1.661470	0.931089	1.093113	1.443126	1.833387	1.707896	-14.409974	533.69
263	52.120312	1.751582	0.916968	1.068644	1.417567	2.070439	1.766742	-14.409932	519.42
264	52.120312	1.783601	0.889425	1.112618	1.317538	2.275171	1.758095	-14.409924	510.54
265	52.120312	1.765693	0.855255	1.134253	1.166060	2.439561	1.691459	-14.409954	507.23
266	52.120312	1.712809	0.824508	1.130215	0.992415	2.558753	1.587258	-14.410016	508.56
267	52.120312	1.643194	0.804932	1.100764	0.830943	2.632133	1.466506	-14.410103	512.58
268	52.120312	1.576296	0.796547	1.050879	0.713366	2.664317	1.351204	-14.410205	516.63
269	52.120312	1.527841	0.797414	1.024347	0.663404	2.659057	1.261062	-14.410289	517.79
270	52.120312	1.514611	0.808143	1.228925	0.706330	2.628038	1.209464	-14.410332	513.66
271	52.120312	1.541043	0.831773	1.430844	0.848749	2.574674	1.199707	-14.410321	503.03
